session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time,round_number,timeout_happened,is_wait_page
v8jw39uu,6,wusx1aqt,5,wsd_app,Introduction,1655115246,1,0,0
v8jw39uu,37,yketsy3q,5,wsd_app,Introduction,1655115246,1,0,0
v8jw39uu,20,b1cz8e00,5,wsd_app,Introduction,1655115247,1,0,0
v8jw39uu,32,7yty41jr,5,wsd_app,Introduction,1655115248,1,0,0
v8jw39uu,42,c6hrzzaz,1,intro_matcher,Intro,1655115249,1,0,0
v8jw39uu,35,17ajo6f1,5,wsd_app,Introduction,1655115249,1,0,0
v8jw39uu,44,px7fovuk,2,matcher,FirstWP,1655115249,1,0,1
v8jw39uu,42,c6hrzzaz,2,matcher,FirstWP,1655115249,1,0,1
v8jw39uu,47,e6i5hr4i,2,matcher,FirstWP,1655115249,1,0,1
v8jw39uu,48,5dw26fpk,3,wsd_app,FirstWP,1655115249,1,0,1
v8jw39uu,28,tj9eap24,3,wsd_app,FirstWP,1655115249,1,0,1
v8jw39uu,42,c6hrzzaz,3,wsd_app,FirstWP,1655115249,1,0,1
v8jw39uu,29,wwmxiren,6,wsd_app,Decision,1655115250,1,0,0
v8jw39uu,22,1e9fragw,5,wsd_app,Introduction,1655115255,1,0,0
v8jw39uu,41,0wymj3xg,4,wsd_app,GeneralIntro,1655115256,1,0,0
v8jw39uu,45,47ztl1u0,6,wsd_app,Decision,1655115257,1,0,0
v8jw39uu,14,8eabaeoj,6,wsd_app,Decision,1655115257,1,0,0
v8jw39uu,50,u0d5od3g,1,intro_matcher,Intro,1655115258,1,0,0
v8jw39uu,46,uxj1cwd9,3,wsd_app,FirstWP,1655115258,1,0,1
v8jw39uu,44,px7fovuk,3,wsd_app,FirstWP,1655115258,1,0,1
v8jw39uu,47,e6i5hr4i,3,wsd_app,FirstWP,1655115258,1,0,1
v8jw39uu,19,twn9fb4m,6,wsd_app,Decision,1655115259,1,0,0
v8jw39uu,48,5dw26fpk,4,wsd_app,GeneralIntro,1655115259,1,0,0
v8jw39uu,36,kzlwe574,4,wsd_app,GeneralIntro,1655115260,1,0,0
v8jw39uu,33,38tdh1io,5,wsd_app,Introduction,1655115262,1,0,0
v8jw39uu,26,uacdg9di,4,wsd_app,GeneralIntro,1655115262,1,0,0
v8jw39uu,34,4g0beedo,4,wsd_app,GeneralIntro,1655115264,1,0,0
v8jw39uu,48,5dw26fpk,5,wsd_app,Introduction,1655115265,1,0,0
v8jw39uu,40,kmdosfa1,6,wsd_app,Decision,1655115265,1,0,0
v8jw39uu,38,n0kgqe99,7,wsd_app,ResultsWaitPage,1655115265,1,0,1
v8jw39uu,40,kmdosfa1,7,wsd_app,ResultsWaitPage,1655115265,1,0,1
v8jw39uu,45,47ztl1u0,7,wsd_app,ResultsWaitPage,1655115265,1,0,1
v8jw39uu,53,5i7f6vwh,1,intro_matcher,Intro,1655115265,1,0,0
v8jw39uu,8,pgzfftd7,5,wsd_app,Introduction,1655115265,1,0,0
v8jw39uu,11,tw74rorl,4,wsd_app,GeneralIntro,1655115266,1,0,0
v8jw39uu,3,kb4xh90w,8,wsd_app,DecisionDisagreement,1655115268,1,0,0
v8jw39uu,52,t2sm9gb5,1,intro_matcher,Intro,1655115268,1,0,0
